,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
10,21093,44354,33215,14293,24913,13773,355,635,163,381,8314,3415,2450,515,5645,120,666,19806,20543,4620,2629,146,189,1830,483,897,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,47508
11,26460,59166,21119,17076,54100,21419,391,1897,185,2835,7750,8399,2911,27,4480,201,917,10025,17200,60,2764,477,65,2404,455,2093,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,38195
12,59498,65990,18592,13201,38460,34256,151,1100,20,4350,5935,8126,4287,1879,2737,431,209,18069,14416,3824,4269,146,81,3685,436,2378,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,31793
13,29459,39943,44703,6033,40618,9946,124,1974,152,983,3377,7631,4411,5602,1055,788,789,24918,11211,1763,7589,216,301,1359,561,2963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,50736
14,16559,43828,57526,10310,30316,13775,364,1492,143,4161,6382,2300,2090,5312,3726,653,256,16805,26986,711,5219,411,282,2884,228,3767,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,67836
15,19588,62351,32618,14612,64672,15939,229,375,152,1463,8664,2572,3739,482,190,144,447,27068,11710,3889,6177,660,96,2003,627,2204,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,47230
16,84186,46737,45081,16547,31237,29846,95,210,79,135,8993,4669,2262,4244,1415,121,235,25799,29284,954,503,355,217,3637,437,907,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,61628
17,49852,55134,24800,7892,51558,8848,490,1735,135,968,7396,6764,3449,4796,4178,141,732,5395,21556,1620,3387,757,464,1337,543,1084,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,32692
18,47885,49969,15695,9008,34283,26664,259,2170,51,1532,6498,8134,4327,8036,346,362,96,17341,9295,81,8577,763,274,5215,619,936,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,24703
19,83108,67850,20015,12430,60315,18588,71,737,196,608,8575,7190,2173,7204,558,123,171,16401,15663,1925,507,613,282,2125,705,1923,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,32445
20,30781,61043,42577,16324,20835,19318,134,992,42,954,5355,3603,2845,3584,3795,652,728,14200,30867,1676,2391,186,272,1833,440,3265,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,58901
21,19779,42945,20266,12273,39386,11551,560,975,147,5321,4533,6340,1607,7328,1867,782,567,8591,29398,4156,3260,425,341,1578,240,2483,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,32539
22,74444,36676,35514,14572,21538,25296,111,297,23,3717,4253,6451,1836,3093,3467,596,538,14434,17118,1160,2338,674,191,3455,567,1904,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,50086
23,82859,44366,46625,8894,34713,32773,571,1888,198,3158,7994,4029,3426,1331,2989,241,599,16739,24039,3854,231,410,403,1664,795,2596,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,55519
24,70250,64598,43812,14550,61347,16066,425,226,131,994,7928,7984,4410,2555,2180,277,686,18729,21237,251,3424,996,136,4566,393,1675,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,58362
25,22750,51089,48432,9358,67698,34769,737,1119,16,2755,8845,8569,3105,8268,5275,330,848,16306,21121,2657,7036,217,454,2769,266,654,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,57790
26,65000,44654,16160,16831,30268,13718,387,624,35,5337,7403,5576,1769,4622,2305,487,792,6917,25594,1191,6697,557,465,2938,391,3507,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,32991
27,20216,39363,40222,17163,46804,8509,523,861,82,3026,4411,4017,3738,5477,4527,296,736,7834,24676,1653,8599,310,395,3626,496,2451,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,57385
28,15402,66612,39176,8844,30577,17964,460,1865,80,2091,6492,4888,3320,8516,2754,195,1001,21705,27918,2919,7949,205,455,4993,517,3625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,48020
29,38225,50599,28644,12714,23983,20615,230,1517,46,2037,5998,8194,2749,7485,1462,474,814,21034,15722,3860,1089,488,389,3478,153,775,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,41358
30,69736,37809,44111,13937,45065,7069,4,1320,136,2276,8197,2863,2120,4484,4527,500,122,4249,32786,1209,5152,720,192,3622,215,2497,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,58048
31,58507,50471,44510,10784,28268,24613,181,2055,48,5105,3627,3585,1466,3929,4663,595,722,10920,24523,3669,5630,742,247,3559,466,3791,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,55294
32,54128,49081,40377,12623,35187,7391,614,1488,57,1030,8987,3993,3002,5090,1816,595,827,24145,16688,3743,6142,715,302,2540,654,2200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,53000
33,64848,46460,46850,16447,58744,29758,376,1535,60,126,6167,2693,2444,7940,4381,569,444,9182,20851,2985,6589,76,411,2052,636,2042,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,63297
34,75838,64898,29714,7707,39089,35959,69,2192,17,991,7278,6125,2928,4672,4838,516,857,23179,29448,3951,8888,321,255,2972,144,3214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,37421
35,11478,45228,15546,15371,29454,7478,384,2362,37,2513,4626,6959,3657,7231,1515,756,216,11535,28726,3194,5902,209,230,3494,427,2414,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,30917
36,60725,57805,54524,9349,34306,32581,478,1257,50,2925,9132,4174,3083,1863,1498,330,106,22730,30137,2707,7437,508,113,1915,144,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,63873
37,65206,48628,27989,12337,37681,20406,105,1122,27,4832,8925,5819,3729,230,3976,782,562,24065,15869,4167,7274,962,479,5616,749,3022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,40326
38,52351,68019,25797,11961,50389,28315,456,986,195,4869,7625,5149,3925,2816,4742,231,161,8460,13491,1793,8984,735,387,2002,571,2547,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,37758
39,29382,35591,26286,11696,35779,35914,568,2257,150,898,4330,2769,4201,4892,4942,738,325,18918,8839,4048,8238,604,106,1474,268,1754,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,37982
40,75957,35511,18087,18034,57430,27755,336,1145,28,3971,7318,3200,4558,5415,3770,715,294,17764,14359,3169,4139,908,275,4736,257,1950,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,36121
41,38716,36694,35412,9485,31070,23993,592,653,134,1333,5853,7420,2226,1773,2300,241,835,6752,16735,560,8377,561,280,4353,536,2244,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,44897
42,17301,64892,46123,6983,24175,31110,696,1881,67,2957,7830,7907,3321,1169,2309,276,318,24356,27458,123,4486,653,305,4011,189,2362,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,53106
43,21758,50211,37898,17089,40198,9906,109,2047,154,4453,8809,4649,3035,8239,2786,630,545,10093,18031,4849,3996,653,375,5705,672,1263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,54987
44,16732,37340,30363,16730,27711,25642,171,1388,187,2552,9016,7704,3700,5720,3905,575,466,9534,18246,944,6737,475,241,2753,504,2442,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,47093
45,53769,51962,56215,9402,20184,25228,308,576,38,4681,8935,5391,2291,7758,994,222,785,9975,31251,2804,5642,925,498,2060,527,1228,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,65617
46,45800,47830,16649,15460,38760,16257,157,1044,26,1841,6367,6159,2485,4128,1129,133,384,13886,25023,1830,8061,393,311,3440,442,2218,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,32109
47,78036,65176,48535,6321,25335,14186,146,2390,107,2981,6502,8189,4538,5242,2097,139,672,23544,9732,4314,1572,432,488,2074,210,1102,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,54856
48,19916,62522,37168,9088,43126,9305,136,2378,107,4250,4655,3829,3045,6195,4082,233,593,18316,32718,1820,6268,126,408,3207,386,1640,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,46256
49,38150,41884,50121,9268,45191,11052,117,1278,150,4283,3948,4712,2584,5097,2506,253,736,21934,8706,4782,829,575,225,2845,328,2373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,59389
50,61475,54605,39545,16012,44657,10722,446,1313,83,1127,6358,4900,2607,1757,4053,678,750,14657,9032,1502,7808,213,495,5166,148,827,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,55557
51,36140,48786,44178,11192,33612,33709,16,1981,59,4466,7457,5682,3439,5831,3625,627,472,10069,29767,3522,2944,671,244,3169,775,3755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,55370
52,76501,44222,20586,6741,29177,12022,268,145,155,1752,6156,8561,4382,2925,5675,412,364,8594,28385,405,8788,437,277,1227,523,1073,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,27327
53,13999,60632,49468,17059,31279,30044,98,2023,44,4205,8721,5667,4012,4922,1244,125,555,24124,13756,608,4414,389,181,3452,193,1053,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,66527
54,30517,43533,27649,14153,20131,13302,199,1512,27,4614,3596,7177,2147,2658,2210,340,254,6920,19089,1016,3277,573,75,3042,349,1158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,41802
55,68373,52759,32080,16380,55243,30738,364,681,181,3341,6602,4867,2670,2340,1995,736,734,8533,10436,2303,2266,491,194,1477,671,1514,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,48460
56,62667,59978,55965,9119,40668,25160,308,2053,32,4347,6316,4500,1349,5500,4080,503,579,11792,32593,2897,5410,508,293,5560,750,2435,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,65084
57,12682,64195,55577,14198,32949,26169,282,1528,155,2146,4483,5130,3104,2066,915,246,179,11385,17346,8,9139,156,237,2016,767,3028,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,69775
58,57133,58077,42359,16117,65322,7616,13,143,43,3251,7870,7911,4153,1067,4161,715,932,16336,26373,2199,2612,535,71,1314,242,1123,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,58476
59,50543,64244,29672,7898,46247,29332,507,1745,136,231,7683,4461,1942,3082,1485,730,411,21444,18232,1002,8042,688,421,1252,667,3412,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,37570
60,47251,61572,31061,9684,23763,25654,313,285,75,4666,8306,2474,3903,6165,2382,232,967,6922,31925,2788,1559,659,437,3112,150,1420,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,40745
61,39247,37115,46660,11480,24572,11824,440,267,19,1319,8537,8020,4464,948,891,377,366,11383,12521,4652,650,870,158,4960,230,1563,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,58140
62,38922,37055,20914,8727,55594,9931,153,322,98,3272,6378,4304,4186,8234,2685,543,761,16859,12402,3386,790,929,129,4703,409,1838,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,29641
63,78409,56118,42553,16099,53998,23812,587,2073,30,5239,6180,4057,1262,2494,943,503,681,27508,31161,4441,1521,108,489,2913,360,830,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,58652
64,30696,57860,22466,7140,65297,6834,270,2411,12,767,5698,2433,4413,1595,2077,348,872,5715,24251,4905,8764,883,209,4736,166,2678,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,29606
65,73961,53526,27694,10043,26802,14474,481,179,197,4761,8862,5800,3753,5852,4369,597,206,5965,31494,1528,3393,249,306,2740,320,1593,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,37737
66,36144,44587,52192,9531,55422,10134,16,1136,131,5323,5372,6462,2812,6834,127,186,322,11319,12051,3318,6287,250,408,3626,662,983,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,61723
67,46974,48663,46465,9020,37584,12286,49,277,48,39,7792,3248,2636,8071,1428,542,310,25629,22366,152,2863,353,69,4913,303,2715,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,55485
68,14280,41556,45563,14196,42984,24260,270,2352,6,281,7920,5700,2498,6034,1267,468,677,14086,14663,3723,6454,553,382,2753,461,2249,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,59759
69,37212,42167,44710,11493,60176,21715,229,1597,116,2008,6597,3084,4534,913,5371,629,983,7592,31224,1725,6663,601,163,4303,640,2533,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,56203
70,35151,54977,39665,7309,27666,18240,271,741,75,2631,9052,8017,2976,7334,4055,412,648,22316,27954,1823,3826,992,72,1534,175,648,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,46974
71,83464,40862,24982,6894,18343,10814,647,1171,22,5252,3751,2356,2786,485,615,717,1012,25580,29341,4560,2344,964,459,3751,787,1317,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,31876
72,66738,64008,41250,6774,53227,23439,69,1860,132,2305,7963,2239,2972,6775,1482,148,800,24898,20086,217,6970,731,344,5600,319,3679,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,48024
73,80667,68278,19341,18081,35443,22592,649,2373,60,4032,9116,8407,3505,4806,1148,291,554,9399,21243,953,7041,460,451,4644,811,2923,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,37422
74,57260,44153,33115,10420,28350,31214,736,1658,29,3786,6173,5789,4235,7672,2809,619,474,23123,18860,4873,6196,913,199,2180,667,3641,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,43535
75,35680,47690,15836,13004,50831,15978,240,625,32,256,6353,6841,1945,3868,2359,690,788,23205,11577,1201,8567,301,126,1413,630,1741,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,28840
76,16029,57523,14851,17702,40438,28416,314,496,163,4547,4123,3410,1488,7263,2406,167,276,19396,32409,796,84,802,340,1933,684,2752,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,32553
77,18651,45186,17701,15240,50567,9730,500,1312,170,4440,8392,5736,3164,2168,4584,566,183,9199,18159,689,8817,158,296,1705,643,1393,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,32941
78,45360,36363,23488,13558,48320,20239,288,2085,77,3731,7449,3123,4421,4446,2083,693,336,5066,8690,792,1849,838,173,2463,642,804,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,37046
79,41900,45097,15923,14326,28440,21057,34,2477,197,2897,4380,2895,3372,2848,692,244,903,24955,11314,4565,4199,137,174,2107,190,1619,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,30249
80,54417,58702,22900,17679,58133,27572,332,1148,150,1777,5325,6640,1725,6637,2692,322,471,10258,14051,3128,7178,108,280,2513,628,1930,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,40579
