,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
10,61753,41414,54815,16531,59871,22606,678,430,149,3183,4834,4888,1607,7853,837,437,862,12577,28219,4740,6770,971,150,3090,156,1826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,71346
11,59125,56935,24350,10743,50803,10772,430,1145,27,4443,4722,7874,2139,4780,2977,777,801,21399,11295,3958,8582,872,143,1890,667,3789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,35093
12,53972,44681,25751,17783,19916,34511,665,1784,164,2386,3395,5587,3407,7063,4381,119,571,22268,14444,1800,4957,699,167,4044,381,862,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,43534
13,67860,45500,31770,13756,33321,20129,524,867,39,2121,6907,5082,1544,7634,3200,432,456,9777,26650,2501,5997,919,67,4217,590,1264,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,45526
14,86361,54484,53071,14116,55828,25082,616,2352,141,41,4310,6924,3643,8075,2151,621,789,9460,24548,3334,6336,307,471,4244,502,2513,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,67187
15,53538,56532,52397,17135,42121,32070,53,274,30,47,4063,7917,1701,5149,3020,790,749,10242,14467,476,6102,334,155,1441,218,1540,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,69532
16,89905,49729,45518,13379,37267,14602,70,2204,119,2444,8151,5603,1587,5334,3470,221,561,19826,21476,2928,8627,985,450,4041,555,2838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,58897
17,18281,64798,19115,13293,66474,29239,13,929,46,2329,7575,6205,2649,6591,2666,222,700,14359,25644,880,4672,547,364,3922,782,1910,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,32408
18,33113,45206,56005,6312,27577,16689,656,1591,172,581,3414,8473,2037,8274,2596,411,1010,24018,26117,4696,5151,509,482,5415,366,1774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,62317
19,52988,67846,48353,15364,36201,24068,166,1731,45,4092,6574,7471,4123,905,2496,741,683,14506,10859,4394,7862,594,313,4973,358,1020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,63717
20,26967,49249,47927,11338,39373,14288,145,790,38,4352,7151,6095,3542,6218,1869,191,735,22807,14904,982,3619,545,208,1263,726,1550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,59265
21,52157,56100,56644,12284,36198,14848,392,1562,156,4382,6310,7753,1431,497,5118,256,817,27469,26846,798,5817,823,245,3163,824,2150,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,68928
22,23078,57318,28722,8154,36351,22479,78,667,168,2602,6323,7040,2260,216,2899,409,819,6679,16646,2643,4106,400,387,2874,285,3552,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,36876
23,61323,49957,26529,13658,19402,7111,70,594,92,4579,5653,7020,2330,1597,91,662,292,14986,27799,4575,4233,313,249,3491,742,2975,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,40187
24,34658,58979,51982,9481,61869,8407,668,207,156,3498,5259,2778,2388,2884,4329,167,341,23531,8701,2514,3906,559,79,3775,282,1066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,61463
25,65886,52861,18969,7144,21366,18706,441,480,28,878,3884,6258,1552,2541,4410,257,822,22893,22493,3357,5868,346,129,3956,376,1266,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,26113
26,77329,49006,25727,12589,30337,27578,121,1816,111,1225,4570,7266,3482,2006,2028,242,255,16253,23036,1257,833,234,496,1912,235,1722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,38316
27,36005,38708,14993,14150,48173,23214,369,415,2,4796,4574,7146,2630,4165,5584,263,552,10797,27243,1353,3689,284,369,1511,237,1661,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,29143
28,79466,35959,37246,11332,34263,22671,59,2002,23,1234,7240,3433,4107,2012,2662,713,758,12993,31469,2248,827,960,432,5424,359,1933,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,48578
29,51321,66647,45171,11097,23675,27302,529,559,48,4292,4129,2594,3665,4882,3621,239,945,17750,14549,2512,5949,865,209,4106,362,2453,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,56268
30,77706,47035,45973,10866,40807,23560,198,1011,137,1103,5832,3571,3966,3762,3350,202,982,25712,23508,4338,2890,490,162,3921,756,714,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,56839
31,51853,39388,32607,9610,56319,15138,394,680,194,42,7864,6574,4037,5721,499,765,592,22750,19555,2532,541,579,313,4748,378,1274,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,42217
32,57182,36527,28252,7442,64452,8054,446,1083,39,663,8275,6253,2549,4636,80,421,125,13860,21153,4473,6559,584,396,2589,612,2252,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35694
33,50274,67951,53904,6678,59438,9418,84,1269,164,2088,4759,5600,4243,3815,928,484,405,23627,20344,3203,6823,755,253,1311,566,2737,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,60582
34,43664,48437,49334,13279,61304,28756,623,169,91,4455,6988,8139,2047,3937,793,135,647,23882,19987,2073,102,649,89,3792,226,1719,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,62613
35,53914,38518,28091,10941,48464,34026,141,2074,9,265,8966,4063,4428,2585,3268,615,998,21976,28048,3053,6543,174,497,3190,229,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,39032
36,22906,60410,50237,6359,48239,25989,646,2282,87,671,5963,8205,4506,7990,5172,141,984,27117,15833,479,8794,878,295,1318,230,3111,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,56596
37,59639,45894,36250,17644,33857,7533,133,1849,160,2932,5369,6500,4441,503,5605,142,759,8217,32000,4644,1856,810,206,2451,559,3066,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,53894
38,71517,59008,27173,7069,65635,35701,407,430,150,4703,9026,7824,4372,7019,5517,308,439,17379,11222,988,3289,201,238,4642,393,957,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,34242
39,90262,63954,42145,6777,25686,27460,583,478,49,2995,4209,5059,4294,2298,2756,560,791,24408,25741,2780,1116,606,201,2741,312,1933,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,48922
40,88156,41441,19578,13554,31965,32574,24,1894,181,131,8102,5948,4233,2183,384,486,66,16810,31876,1712,7185,253,432,5534,791,1017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,33132
41,12083,52984,33649,7594,61621,18780,426,2292,47,1787,5170,7805,3234,2128,3330,603,784,23543,30585,804,5899,814,262,4005,584,3380,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,41243
42,36814,39739,53867,14294,22254,12334,536,2068,146,888,8724,7003,1458,928,1543,631,830,17916,16281,1373,2669,346,211,1448,681,1817,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,68161
43,30819,51797,34035,15089,26639,29797,513,1111,33,1231,6352,4303,2786,784,16,172,516,23716,21621,4145,4948,292,401,2412,335,1058,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,49124
44,81265,37605,54196,8442,19119,32182,18,1291,30,1220,8202,7309,3723,4465,1338,651,628,5202,31401,2482,5001,118,225,2535,184,3089,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,62638
45,42802,40733,53762,12419,32135,11068,280,1140,83,5013,7112,6307,3078,5136,5367,123,98,4412,11009,4686,7291,749,66,5518,493,717,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,66181
46,37695,37409,41038,8560,59778,11268,87,1137,175,1468,5808,7894,1432,7506,644,749,515,9456,25141,3065,1356,474,326,4607,277,2065,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,49598
47,27982,53501,50592,8586,64410,10957,679,89,154,302,6025,8165,1653,1232,4139,350,521,19575,19272,3255,9181,954,414,4505,702,2854,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,59178
48,25207,53812,22337,16282,60200,23196,454,1449,30,2985,5400,2678,1410,3146,2994,182,764,14278,30677,2236,1036,896,80,1952,326,3243,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,38619
49,29575,38002,49524,11166,59440,9421,221,149,171,533,4048,6678,1707,1703,4905,603,211,17255,26940,1515,8514,834,100,5547,656,3355,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,60690
50,32201,40830,55361,11894,58529,19176,61,1715,143,3623,9083,3314,3519,5144,991,340,670,26757,12673,3701,7251,268,215,2390,252,2459,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,67255
51,64336,49113,30223,8245,39629,36226,296,2223,35,5324,4952,6088,4001,5839,584,339,461,8612,24399,1309,911,662,80,2715,169,1188,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,38468
52,53868,47347,21057,11784,48448,16893,726,1291,88,2460,6922,8356,1393,825,1091,448,376,9222,26230,2157,4087,394,202,3963,630,603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,32841
53,41502,61667,39503,18081,22882,35615,344,2372,84,16,9029,2374,2567,6748,5142,792,265,8630,17543,608,6249,667,405,5668,540,3778,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,57584
54,45336,35430,34203,18110,28280,20485,10,108,37,4976,4348,4805,2321,4270,193,617,932,19513,23182,2557,3413,924,252,2457,657,2049,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,52313
55,18962,53709,41417,9998,65057,26340,65,155,9,2347,5796,6734,3117,3746,146,434,134,26028,19553,1954,3482,294,161,5266,343,2279,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,51415
56,44408,51602,56667,8351,32156,33684,658,229,129,3301,7960,2349,3063,7177,3596,424,765,4780,19760,3055,6516,121,186,5676,692,3567,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,65018
57,30716,49839,37616,9140,58132,16582,164,1104,152,922,8654,4185,2777,782,4476,144,649,10386,14714,4096,1255,810,79,3880,438,3489,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,46756
58,80577,61635,22331,16491,34860,13651,643,1498,133,979,4549,7993,4219,5530,1205,438,40,24133,22351,2878,5958,475,305,3130,708,2357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,38822
59,12044,46072,22981,18002,32892,15131,19,221,96,1924,7408,4992,3581,4372,4554,536,643,16894,22599,559,5317,797,194,5714,753,1328,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,40983
60,52804,53187,17685,13000,58092,20252,2,301,70,1328,8654,2325,1636,7076,1819,436,288,8957,15560,2425,1029,817,343,4492,328,2310,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,30685
61,76946,49071,35426,15522,59150,8942,145,247,115,2301,6061,7394,1699,5216,2324,403,279,26810,11870,833,2771,430,475,5005,253,3481,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,50948
62,47904,54892,18981,8192,50043,12806,437,1273,143,2690,6616,4290,4519,2309,1360,682,938,18194,29778,4553,2380,934,347,3773,291,1798,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,27173
63,13355,60236,17467,15380,60050,29216,705,1948,48,199,4355,3474,2518,6626,4077,637,760,21923,13418,2522,3043,896,307,1557,300,2921,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,32847
64,90313,44299,35191,16137,39878,33669,46,150,7,5048,5480,5994,4214,4134,2561,550,300,26898,17664,1095,6879,510,495,1310,576,3004,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,51328
65,15061,56101,38058,11960,33337,20190,473,1035,36,5073,7642,2910,1611,6149,4897,409,64,12747,30655,2882,8520,204,153,1507,186,2488,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,50018
66,33379,52136,57594,10496,48825,35268,584,1904,136,1340,7795,4163,2961,7279,4370,132,521,19508,26384,1442,5088,803,432,2422,737,1980,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,68090
67,39492,52464,35746,10435,19807,21826,724,697,180,4860,7773,3625,3006,3222,2930,246,258,19797,23637,983,130,214,256,1799,752,3606,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,46181
68,44340,35337,34492,13150,50019,23490,80,1660,114,2879,5814,3566,2900,6973,4215,228,388,27471,19087,1899,6105,679,230,4269,496,2053,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,47642
69,20181,57865,21794,6885,35935,35786,401,2192,59,2211,6153,3629,3437,7828,2780,618,631,5512,20858,3061,8707,332,271,4783,341,3792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,28679
70,87046,39874,35816,8184,56932,8884,97,751,48,4740,8091,3545,3408,7161,3792,743,975,22061,32601,1395,8967,235,293,3147,355,3773,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,44000
71,17005,68043,19779,17427,38587,13279,427,1276,87,3684,5472,3773,4442,1831,3588,193,719,6909,17730,1200,5753,768,406,3582,491,2844,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,37206
72,12777,61414,55990,16807,56482,34886,711,1970,11,450,7895,7951,3195,966,1431,490,67,9207,9862,1991,8909,753,359,2431,150,3010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,72797
73,55028,49532,25107,7905,52193,33630,182,1012,49,3208,8955,2850,2757,3560,1132,399,52,26323,22544,3372,5518,942,476,5429,701,1417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,33012
74,29330,64583,48605,8049,56960,24634,225,805,124,3547,6042,3545,4012,2695,540,731,91,23193,14836,3734,5403,245,490,3776,727,2075,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,56654
75,89479,53755,35989,17039,32856,28378,298,963,80,4660,4212,5259,1567,314,940,758,209,15707,13512,3931,193,578,358,5351,349,619,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,53028
76,88123,59704,20597,13216,19590,35639,344,1027,43,4804,7786,6902,3603,1944,3667,640,587,22494,27680,3866,4547,720,485,3815,354,2562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,33813
77,68201,38854,19367,12259,45748,12719,7,1835,191,4528,9097,7828,2333,2963,3032,782,627,3710,30330,1328,8535,829,164,2912,262,1908,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,31626
78,15447,64151,31137,15698,48393,7419,272,1290,187,927,9088,2622,4357,7848,3364,497,468,10399,25299,3914,5723,807,177,2580,442,1267,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,46835
79,45420,52193,16873,14682,34723,31819,26,360,64,1322,4588,5218,4240,6039,2954,671,640,15767,30282,2077,3589,589,352,1670,804,2525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,31555
80,50806,54930,37275,15983,63656,8459,15,2394,123,5001,7251,8279,2338,1187,3295,533,241,18677,17067,518,3235,700,487,5070,158,2735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,53258
