,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,Two Or More Races,Husband Wife Family Households,Single Guardian,Singles,Singles With Roommate,Households Without Kids,Households With Kids,Worked Full-time With Earnings,Worked Part-time With Earnings,No Earnings,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year
11,36174,14670,63654,7806,158,1915,146,251,6033,4665,8735,8098,2113,20365,1887,30739,3426,14131,6261,5107,1245,7690,1084,157,574,17131,24143,1366,3097,4399,391,236,13778,203,3618,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,2018
12,19185,7797,35333,16640,637,338,135,3775,4027,4308,5546,6251,4395,20460,4347,26545,4874,10704,4267,6758,3603,1701,1682,434,873,11717,8982,2029,4336,8105,686,470,7140,156,2684,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,2016
13,55468,13113,57793,29836,259,95,43,1296,13698,15831,4879,6546,1926,10919,3469,10189,6212,24117,7878,5677,2556,6210,790,667,604,6326,22623,145,2976,4054,280,60,7872,566,3257,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,2015
14,47229,6372,25835,12232,466,2396,171,1643,6041,12766,5276,8212,2717,20389,1192,17410,3541,30898,6922,8237,1977,4462,4319,179,642,13000,22796,295,4395,3542,418,455,5328,772,3743,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,2018
15,54229,15625,18053,9849,216,1092,187,3951,5141,15626,4686,12179,2133,9668,4098,29784,4376,18101,4182,3333,215,5336,1376,646,243,12973,8716,3372,3142,6723,493,466,7075,717,1998,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2014
16,23449,9537,58872,9028,89,2279,17,5022,3421,6026,2690,9164,5933,21089,3422,13820,4605,12443,8847,8103,4311,714,3443,165,43,16255,10163,90,3592,1475,827,424,9925,350,2384,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,2017
17,46214,6578,39611,10399,32,1563,65,3789,8816,8782,6913,7880,4628,18879,2849,28855,5566,35061,3648,2186,1244,6090,4938,449,385,14638,18811,1536,1336,9164,716,227,19198,580,911,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,2017
18,27621,9079,21803,8108,212,1077,25,447,14005,12605,6766,9761,3722,23953,1087,16089,7519,30994,3871,6535,3757,7703,4842,210,844,9332,19385,2895,1599,7204,545,248,14002,168,2671,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,2018
19,53361,11586,22779,20636,481,1124,99,2524,12970,15465,8165,6103,2370,16825,1196,35050,3014,35767,6561,2537,1043,112,4247,356,726,14519,14414,431,4387,7697,632,429,4859,386,3286,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,2014
20,37649,6551,21049,9303,362,118,93,1137,7052,8029,5775,5260,5606,14879,2762,24213,4272,9393,6407,7204,4472,8313,5647,125,287,24361,10410,4892,1874,3645,790,146,12341,255,644,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,2014
21,41450,12318,20365,27370,98,341,138,3626,13490,12975,2452,11579,1871,20692,1228,26650,3425,11002,7892,7217,2600,1252,1857,489,998,14315,11482,1563,2913,1159,717,165,9055,172,1321,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2018
22,24876,8793,53769,21960,667,1213,106,2689,11933,10548,9322,8318,4176,24110,1208,18614,5601,12567,9144,6829,3902,1242,1489,646,181,15231,17683,658,1216,5927,258,250,10468,813,3006,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,2015
23,47100,11470,54220,22832,61,891,94,2319,9690,11908,6277,8646,4752,23201,1204,25237,6435,17510,8897,5359,1161,5974,5085,207,278,17148,11177,1381,1527,2837,208,471,8424,206,1511,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,2015
24,42151,7759,53638,27395,267,890,157,4628,4256,7698,4052,12888,6068,24098,1980,9647,3616,25990,9011,5410,1858,6514,711,358,776,21418,11385,1812,2219,3404,689,246,15316,655,3213,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,2015
25,23742,7208,50870,22051,407,1802,26,1199,3706,12569,8835,12386,4913,23708,3917,13318,6744,28883,3476,4143,1166,283,166,613,668,8999,16042,3926,2977,5148,458,415,21411,144,3195,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,2018
26,30960,15863,34012,34572,190,1782,45,3272,4942,11625,3179,5429,5647,20248,1323,9297,6124,35527,4854,2838,3668,950,4565,242,554,9660,30964,3567,1191,1914,538,387,7942,809,2394,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,2017
27,34824,6168,55347,32025,72,946,166,4014,10793,16035,2990,5591,4107,11193,2344,29086,3434,23616,7035,5702,2133,3246,2324,278,49,22247,27525,3250,1335,8999,944,450,12909,779,3728,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,2015
28,16898,6423,18485,27202,503,1472,118,2876,4214,16264,6118,6176,1499,16174,3687,15085,7499,21482,5457,6667,761,362,3230,262,864,25032,25159,3499,1413,8304,819,370,7790,413,2887,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,2018
29,15970,11691,62457,17693,189,1871,37,5206,13022,17477,5120,7525,1391,16319,1154,23824,4726,29158,4883,8322,1747,240,5655,328,651,25334,26296,3662,3591,6868,577,415,14033,522,1432,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,2016
30,35130,10423,65645,12231,71,2204,125,275,12270,14903,5496,7962,1785,24514,2019,16921,7376,13388,6484,6075,159,4802,2149,523,229,11255,23031,4634,3306,4349,558,311,4617,313,3029,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,2018
31,44401,16362,68461,12824,61,1697,163,80,1874,15842,4984,10281,5547,11487,4348,15694,4947,21456,4527,8316,2215,6517,4733,483,125,25598,25298,4655,4238,5580,183,97,13370,454,2737,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,2017
32,45526,15616,34998,21184,702,1190,3,2546,11565,12548,7741,7160,4739,16856,3481,25046,6828,17698,5486,4100,2748,4006,4444,728,706,8732,25109,3583,3043,8835,380,197,14084,696,1665,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,2015
33,28266,15873,43228,25301,147,1396,25,4645,1844,12943,5071,11806,4109,23333,1993,11223,5891,27690,4121,7929,874,8056,1895,130,823,10354,15517,2734,3662,6451,348,302,8468,813,980,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,2016
34,51637,6647,27995,28171,18,593,155,1346,8702,11030,3178,5866,5705,14903,3431,22968,3566,16788,5719,7936,3795,2100,5121,340,438,6996,18595,3397,2790,6481,832,108,13185,512,3015,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,2015
35,33676,17166,20464,33050,8,1623,135,3023,4917,12211,4190,9786,4714,11268,2791,17679,6749,25115,4481,5427,3123,4842,4334,729,889,9044,14331,3794,3216,3274,880,216,16801,594,1619,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,2018
36,28419,17326,25337,33778,301,2180,157,214,12003,16784,8498,6943,3282,19479,3827,26166,2836,35621,7577,4167,4000,7251,281,638,575,19646,32376,1163,3040,1254,747,373,14576,216,587,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2015
37,35993,8157,29323,23108,15,1651,47,2423,8620,4980,6590,9952,3963,19623,4025,20188,5220,29770,4953,3020,3337,3617,1313,138,820,3879,22531,439,3585,4422,186,335,10447,585,2034,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,2018
38,57918,11472,32004,19549,451,2443,14,944,7748,10628,4489,11110,4312,10849,2330,26454,7038,18554,8735,8357,1083,2664,5499,165,806,21415,26783,4775,4379,5330,713,304,12076,492,2033,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,2015
39,47391,8518,49004,12230,679,238,51,3348,5506,12248,4235,6265,3912,15527,1236,13602,7419,23548,7282,6282,376,5216,3259,146,280,3651,15273,2645,1728,5076,990,328,11680,217,2255,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,2015
40,49637,11385,48657,28085,405,523,133,2787,8292,13332,7046,8401,3455,10012,3808,27069,4901,28425,4948,8105,1415,8392,3486,446,263,17380,15400,3037,1257,2021,399,235,4439,608,790,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,2017
41,39970,14052,41289,28603,255,634,80,2504,5360,14278,7466,8311,2399,16909,1413,31034,5206,21228,6584,3044,1836,3841,2200,619,100,15840,9767,4810,3653,9058,169,267,16792,678,3530,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,2015
42,52287,13166,63350,12110,586,977,191,3726,14514,7638,8566,9011,3816,24186,2898,10358,3615,37531,6366,2487,900,8546,4362,594,632,14151,25521,1468,2739,4188,766,133,10963,167,887,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,2016
43,16490,16986,28003,21625,1,1425,115,5016,6913,12707,8086,11295,2061,18096,2201,19452,5414,23583,3479,4072,3037,3927,4096,656,585,19268,12403,2547,3438,4912,558,369,5991,560,605,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2016
44,17972,6682,18486,11842,649,1236,50,47,14123,5700,2717,7743,4080,9332,1620,10661,7229,18765,5029,3538,1940,8391,673,439,534,22323,15701,809,1816,8407,546,99,11744,535,2114,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,2017
45,38070,10236,50271,31289,199,1031,136,1340,6109,7226,4806,9620,6193,11187,1771,16213,2751,19698,3579,7497,1098,4319,4970,158,748,23482,17019,320,1371,4395,192,299,19208,664,1762,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,2014
46,54090,7449,32025,7392,439,2476,43,1211,13338,10133,8091,4168,3714,9968,3175,22613,5744,33841,5460,8153,2971,4970,447,408,353,3988,25157,3538,2790,2242,267,216,21095,507,864,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2014
47,57973,12779,32218,22299,524,769,28,4783,4315,9931,4379,7790,1926,9575,2976,27542,2915,16391,9064,2788,888,1587,2811,731,717,10530,27225,3792,2344,5983,791,218,4242,317,2928,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,2017
48,45122,6068,33470,31193,467,834,49,3946,11839,6506,2849,11991,1500,22034,1469,17750,5468,28859,9126,8216,3670,5141,3196,567,743,10307,15814,3963,2140,4972,781,174,13246,605,760,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,2016
49,53597,14503,29733,16221,581,1505,99,3700,8454,9087,5922,4039,2042,12038,2662,34869,7055,13253,8656,7258,3659,5564,1992,439,477,11646,20165,1708,3994,8402,800,184,8295,159,3552,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2018
50,51822,7338,47716,10581,363,1589,190,3946,13179,12658,6578,5281,4794,11427,3040,13734,3843,17469,5901,6644,1212,1192,876,784,587,25716,22516,3704,1818,5886,372,153,18290,682,1665,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2018
51,16467,14811,23002,28288,348,2191,40,3848,12898,5871,7849,6883,2720,16685,2703,23733,6240,16367,4714,3978,528,6526,5258,210,36,8278,24372,3518,1722,6788,727,367,10694,715,749,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,2015
52,17114,7149,67279,17974,239,1965,1,343,6872,8396,2859,5465,5328,19897,1949,17210,3212,26235,3499,6447,1185,5124,1826,490,902,5729,21273,4164,2723,8373,683,402,17936,546,3577,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,2014
53,15261,8363,44988,24060,33,2226,151,2768,2944,10837,7594,4577,4199,21765,1397,25127,4141,15449,5303,3150,666,7906,3447,700,447,20945,26114,1330,3202,6870,904,77,17080,658,1307,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,2017
54,34216,17170,38991,10174,387,2429,23,1037,10210,4822,7656,7268,3084,18110,3870,20812,5906,20749,8953,4401,3913,2176,3947,383,86,4044,29189,1798,3512,6728,332,406,18537,327,1225,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,2014
55,40334,6768,44618,8389,301,1527,21,1162,4455,10603,7908,5665,6056,19157,3246,32709,6956,18990,6321,5067,3752,8271,2611,496,748,10672,20754,3691,3630,1288,666,477,7038,262,3687,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,2017
56,47479,9023,60004,29889,670,2112,36,228,9738,10675,3729,9362,1477,18433,4274,25801,7274,35967,5627,5558,1918,4821,2463,148,640,13758,16118,3836,3463,9011,482,69,6634,288,1990,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2014
57,39732,10515,28264,16621,39,1763,196,4256,4081,16030,3765,8521,3364,11836,3079,27866,3785,8205,3702,3847,1753,4723,1202,435,204,7568,13149,1025,3037,8697,960,149,7992,405,846,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,2018
58,25107,10481,45738,8464,368,186,54,4182,13581,11369,9154,7703,5398,17231,2519,30034,3072,12910,8024,5657,1565,2474,4452,612,589,25368,26189,4472,2460,3736,95,345,7603,800,3039,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,2017
59,42335,6608,63798,33059,588,783,7,3360,1145,14561,7895,9724,2166,18557,3684,15139,6728,14363,8017,8739,2946,5063,2252,433,139,4011,22372,3297,1194,346,507,365,9143,506,3357,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,2014
60,37230,7265,56926,16526,108,1448,164,1408,3372,6182,3679,6138,5259,24496,1963,20190,3988,22445,3578,7822,312,320,4141,319,303,21903,30290,939,2081,3610,164,463,5207,453,2806,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,2018
61,47416,10494,59841,13542,74,2469,74,4129,11363,9315,8510,5976,4514,10881,2603,19025,2742,30963,6002,5881,3145,7516,2039,345,749,4850,28033,90,2598,410,95,288,7335,203,1134,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,2015
62,21483,12835,39690,20993,102,493,9,463,9564,5643,8341,10369,3719,10757,3751,16509,4629,26574,7490,8180,2761,1285,379,686,920,5916,18833,711,3156,809,792,443,18666,643,2585,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,2015
63,15855,13331,43186,8558,677,1909,83,1207,11164,12622,2925,10897,4497,8173,4211,32005,4099,18481,4480,6621,2184,3702,3839,748,200,6898,16273,953,3873,3564,644,146,6630,268,3613,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
64,36156,10345,40697,34674,554,928,37,677,6847,8876,8913,9368,4155,9761,3817,12133,4538,39564,5878,8201,2279,3770,4502,662,971,13222,31840,4315,3563,4644,898,139,5738,217,2658,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,2015
65,54253,11196,67420,13829,712,2303,81,1513,4657,16907,6270,10049,1399,15920,1358,25013,6891,9261,7935,6555,2619,5316,2596,287,404,8092,19086,2158,2479,8091,787,125,20239,564,852,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,2014
66,29079,16025,20888,30712,124,487,19,2021,3576,17234,2239,5442,3164,20695,4126,33646,7363,25860,6226,6308,2292,8077,3416,567,896,26619,29158,4576,2765,8531,954,339,12679,628,702,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,2014
67,47261,12516,63261,35341,270,1585,19,4435,7163,9606,8208,10677,4637,8830,1109,22051,6308,28438,8923,3510,1731,1131,1921,611,410,20648,21043,528,3402,6476,391,338,15752,199,3387,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,2018
68,24995,11930,65681,16332,131,1760,33,3041,11522,12981,8103,7609,1725,17469,4244,16317,4827,13207,8101,2479,1349,7209,334,710,635,10204,26644,1136,1630,6711,710,324,21398,193,2998,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,2018
69,49049,10007,36237,29374,584,239,109,4282,4974,9489,6103,6869,5815,10773,1340,19436,4517,22838,3660,3653,4026,7040,5195,607,831,8675,14477,3900,3487,5615,512,459,8156,198,2463,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2017
